Type,q,e,i,w,N,M,n,wrate,Nrate,RA,Dec,Epoch,H,G,Radius,Mass,Rotation,Albedo,NAIF ID,Name
PL,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000000000,0.0000000000,270.000,66.561,2451545.0,-26.72,,695508.0,1.9985E+30,25.44900,,0,Sun
PL,0.30749775,0.20563593,7.00497902,29.12703035,48.33076593,174.79252722,4.09233439,0.0028581770,-0.0012534081,270.000,66.561,2451545.0,-0.60,,2440.5,3.3011E+23,58.64620,1.000,1,Mercury
PL,0.71843382,0.00677672,3.39467605,54.92262463,76.67984255,50.37663232,1.60213040,0.0028037747,-0.0027769418,270.000,66.561,2451545.0,-4.47,,6051.8,4.8675E+24,-243.01800,0.106,2,Venus
PL,0.98329134,0.01671123,-0.00001531,102.93768193,0.00000000,357.52688973,0.98560025,0.0032327364,0.0000000000,270.000,66.561,2451545.0,-3.86,,6378.1,5.9724E+24,0.99727,0.650,3,Earth
PL,1.38140478,0.09339410,1.84969142,286.49683150,49.55953891,19.39019754,0.52402076,0.0073698431,-0.0029257343,270.000,66.561,2451545.0,-1.52,,3396.2,6.4171E+23,1.02596,0.367,4,Mars
PL,4.95113886,0.04838624,1.30439695,274.25457074,100.47390909,19.66796068,0.08308100,0.0000783562,0.0020469106,270.000,66.561,2451545.0,-9.40,,71492.0,1.8982E+27,0.41354,0.150,5,Jupiter
PL,9.02301350,0.05386179,2.48599187,338.93645383,113.66242448,317.35536592,0.03348152,-0.0013029422,-0.0028867794,270.000,66.561,2451545.0,-8.88,,60268.0,5.6834E+26,0.44401,0.520,6,Saturn
PL,18.28233384,0.04725744,0.77263783,96.93735127,74.01692503,142.28382821,0.01172003,0.0036564692,0.0004240589,270.000,66.561,2451545.0,-7.19,,25559.0,8.6813E+25,-0.71833,0.470,7,Uranus
PL,29.81160769,0.00859048,1.77004347,273.18053653,131.78422574,259.91520804,0.00598992,-0.0031732800,-0.0000508664,270.000,66.561,2451545.0,-6.87,,24764.0,1.0241E+26,0.67125,0.510,8,Neptune
PL,29.65788824,0.24882730,17.14001206,113.76497945,110.30393684,14.86012204,0.00397669,-0.0002879460,-0.0001183482,270.000,66.561,2451545.0,-1.00,,1188.3,1.3030E+22,-6.38720,0.410,9,Pluto
PL,2.55640115,0.07687465,10.59127767,73.80896809,80.30119019,130.31596882,0.21387084,0.0000000000,0.0000000000,270.000,66.561,2458849.5,3.34,,482.1,9.3842E+18,0.37809,0.300,1,Ceres
PL,37.73682628,0.44220285,44.18677870,151.37718351,35.88579460,204.69514955,0.00177121,0.0000000000,0.0000000000,270.000,66.561,2457709.5,-1.10,,1200.0,1.6600E+20,1.07900,0.090,136199,Eris
PL,38.31981212,0.15854707,28.98052780,295.03604476,79.64391423,164.21462674,0.00320711,0.0000000000,0.0000000000,270.000,66.561,2458666.5,-0.20,,717.0,3.1000E+19,0.93700,0.840,136472,Makemake
PL,35.14667963,0.18908003,28.19886054,239.25980624,121.89324028,212.44364389,0.00345418,0.0000000000,0.0000000000,270.000,66.561,2457665.5,0.20,,870.0,4.0060E+19,0.16310,0.810,136108,Haumea