Type,RA,Dec,pmRA,pmDec,V,B,Dist,RV,Spec,Comp,Delta,Sep,PA,Year,T,a,e,i,w,n,P,Vtype,Vmin,Vmax,Vper,Vepoch,IDs,Names
DS,19 41 48.95,+50 31 30.2,-0.01552,-0.1590,+5.96,+6.61,2.113E+01,-27.3,G1.5Vb,AB,+0.20,39.8,133.2,2020.00,153.2882,35.2420,0.8630,135.44,26.60,313.44,13512.700000,,,,,,16 Cyg;HR 7503;GJ 765.1A;HD 186408;SAO 31898;BD +50 2847;WDS 19418+5032;HIP 96895;TYC 3565-1524-1;GAIA 2135550755683405952,
DV,20 13 37.91,+46 44 28.8,+0.00041,+0.0019,+3.81,+5.00,4.149E+02,-6.9,K2II+B3V,Aa,+3.21,107.0,173.0,1926.00,,,,,,,,EA/GS/D,+3.73,+3.89,3784.30,2441470.00,omicron1 Cyg;31 Cyg;V695 Cyg;HR 7735;HD 192577;SAO 49337;BD +46 2882;WDS 20136+4644;HIP 99675;TYC 3559-2797-1,
DS,21 06 55.26,+38 44 31.4,+0.35088,+3.1570,+6.06,+7.36,3.496E+00,-64.6,K7V,BA,+0.80,31.8,153.3,2020.00,1699.2838,25.2474,0.5417,56.29,313.94,1.25,618.691100,,,,,,61 Cyg;HR 8086;GJ 820B;HD 201092;SAO 70919;BD +38 4344;WDS 21069+3845;HIP 104217;TYC 3168-2798-1;GAIA 1872046574983497216,
DS,20 46 39.50,+16 07 27.5,-0.00211,-0.1975,+4.26,+5.30,3.554E+01,-6.4,K1IV,AB,+0.64,8.9,264.7,2020.00,2304.9922,10.2200,0.8800,148.78,331.16,88.06,3249.000000,,,,,,gamma2 Del;12 Del;HR 7948;HD 197964;SAO 106476;BD +15 4255;WDS 20467+1607;HIP 102532;TYC 1634-3056-1;GAIA 1763000413344449792,
DS,16 36 13.72,+52 55 27.9,-0.00135,+0.0268,+5.08,+5.04,1.268E+02,-10.4,B9V,A,+1.00,3.3,106.0,1983.00,,,,,,,,,,,,,17 Dra;HR 6185;HD 150117;SAO 30013;BD +53 1876;WDS 16362+5255;HIP 81292;TYC 3879-2960-2;GAIA 1425769751741972352,
DS,17 05 20.12,+54 28 12.2,-0.01123,+0.0949,+5.55,+6.03,2.718E+01,-14.3,F7V,AB,+0.06,2.6,358.2,2020.00,1938.8477,2.9582,0.2213,146.57,31.36,128.83,424.271300,,,,,,mu Dra;21 Dra;HR 6370;GJ 9584A;HD 154906;SAO 30239;BD +54 1857;WDS 17053+5428;HIP 83608;TYC 3890-1396-1;GAIA 1420101696285626624,Alrakis
DS,17 32 16.03,+55 10 22.7,+0.01685,+0.0596,+4.86,+5.16,2.992E+01,-16.0,A4m,A,+0.01,61.9,312.0,1986.00,,,,,,,,,,,,,nu2 Dra;25 Dra;HR 6555;HD 159560;SAO 30450;BD +55 1945;WDS 17323+5510;HIP 85829;TYC 3892-1621-1;GAIA 1420972548150735744,
DS,17 41 56.36,+72 08 55.8,+0.00579,-0.2698,+4.57,+5.00,2.204E+01,-10.3,F5IV-V,AB,+0.90,29.6,17.2,2020.00,3816.9599,31.0000,0.2800,55.00,99.00,16.00,10000.000000,,,,,,psi1 Dra;31 Dra;HR 6636;GJ 694.1A;HD 162003;SAO 8890;BD +72 804;WDS 17419+7209;HIP 86614;TYC 4436-1425-1,Dziban
DS,18 00 09.22,+80 00 14.7,+0.01802,+0.1240,+5.68,+6.18,5.308E+01,+10.0,F7V,AB,+0.30,18.8,231.8,2020.00,3380.9692,24.7400,0.8400,162.00,138.00,233.00,18000.000000,,,,,,41 Dra;HR 6810;HD 166866;SAO 8996;BD +79 571;WDS 18002+8000;HIP 88136;TYC 4578-1433-1,
DS,01 39 47.83,-56 11 36.0,+0.03705,+0.0108,+5.76,+6.64,8.196E+00,+20.2,K0V,AB,+0.12,11.6,185.8,2020.00,1811.9027,7.9800,0.4990,139.60,24.90,16.50,493.300000,,,,,,p Eri;HR 486;GJ 66B;HD 10360;SAO 232490;CP -56 329;WDS 01398-5612;HIP 7751;TYC 8478-1394-1;GAIA 4911306239828325760,
DS,02 58 15.67,-40 18 16.8,-0.00457,+0.0231,+3.22,+3.38,5.024E+01,+12.0,A5IV,A,+1.10,8.3,91.0,1990.00,,,,,,,,,,,,,theta1 Eri;HR 897;HD 18622;SAO 216113;CD -40 771;WDS 02583-4018;HIP 13847;TYC 7563-1016-1;GAIA 5044368071870093312,Acamar
DS,03 48 35.88,-37 37 12.6,+0.00638,-0.0107,+4.75,+4.73,4.943E+01,+16.0,B9V,A,+0.50,8.1,214.0,1986.00,,,,,,,,,,,,,HR 1190;HD 24072;SAO 194551;CD -38 1297;WDS 03486-3737;HIP 17797;TYC 7570-1585-1,
DS,03 54 17.50,-02 57 17.0,+0.00179,+0.0010,+4.72,+5.63,1.033E+02,+24.3,G8III,A,+1.37,6.8,347.0,1984.00,,,,,,,,,,,,,32 Eri;HR 1212;HD 24555;SAO 130806;BD -03 631;WDS 03543-0257;HIP 18255;TYC 4721-1217-1;GAIA 3247046373003772032,
DS,04 15 16.32,-07 39 10.3,-0.15066,-3.4204,+4.42,+5.24,5.044E+00,-42.7,K0.5V,A,+5.30,83.4,104.0,1970.00,,,,,,,,,,,,,omicron2 Eri;40 Eri;HR 1325;GJ 166A;HD 26965;SAO 131063;BD -07 780;WDS 04153-0739;HIP 19849;TYC 5312-2325-1,Keid
DS,03 12 04.53,-28 59 15.4,+0.02831,+0.6123,+3.80,+4.34,1.411E+01,-20.0,F8V,,,4.4,299.0,1994.00,,,,,,,,,,,,,alpha For;HR 963;GJ 127A;HD 20010;SAO 168373;CD -29 1177;WDS 03121-2859;HIP 14879;TYC 6445-0990-1,Dalim
DS,07 20 07.38,+21 58 56.4,-0.00135,-0.0078,+3.54,+3.88,1.803E+01,+4.1,F2IV,,+5.00,5.8,220.0,1990.00,,,,,,,,,,,,,delta Gem;55 Gem;HR 2777;GJ 271A;HD 56986;SAO 79294;BD +22 1645;WDS 07201+2159;HIP 35550;TYC 1359-2672-1,Wasat
DS,07 34 36.10,+31 53 18.6,-0.01620,-0.1482,+2.88,+2.92,1.560E+01,-1.0,A2Vm,BA,+0.97,5.4,52.1,2020.00,1958.6996,6.7550,0.3360,114.60,250.50,41.20,459.800000,,,,,,alpha Gem;66 Gem;HR 2890;GJ 278B;HD 60178;SAO 60198;BD +32 1581;WDS 07346+3153;HIP 36850;TYC 2457-2407-1;GAIA 892348694913501952,
DS,16 08 04.53,+17 02 49.1,-0.00238,-0.0067,+5.00,+5.93,1.208E+02,-10.1,G8III,A,+1.25,27.9,13.0,1985.00,,,,,,,,,,,,,kappa Her;7 Her;HR 6008;HD 145001;SAO 101951;BD +17 2964;WDS 16081+1703;HIP 79043;TYC 1508-1273-1;GAIA 1198898034296727296,Marsic
DS,17 15 01.91,+24 50 21.1,-0.00154,-0.1568,+3.13,+3.22,2.354E+01,-40.0,A3IV,A,,0.1,7.0,1989.00,,,,,,,,,,,,,delta Her;65 Her;HR 6410;GJ 3995A;HD 156164;SAO 84951;BD +25 3221;WDS 17150+2450;HIP 84379;TYC 2065-1930-1;GAIA 4573412435280434560,Sarin
DV,17 14 39.18,+14 23 24.0,-0.00046,+0.0328,+5.33,+6.03,1.172E+02,-32.5,G5III+F2V,BA,+1.92,4.6,102.6,2020.00,1835.0022,4.6800,0.0000,155.80,360.00,119.60,3600.000000,SRC,+2.74,+4.00,,,alpha2 Her;64 Her;HR 6407;HD 156015;SAO 102681;BD +14 3207;WDS 17146+1423;HIP 84345;TYC 0990-2133-1,
DS,17 23 40.94,+37 08 45.4,-0.00323,+0.0092,+4.51,+4.49,1.232E+02,-21.0,B9.5III,Aa,+0.89,4.2,317.0,1980.00,,,,,,,,,,,,,rho Her;75 Her;HR 6485;HD 157779;SAO 66001;BD +37 2878;WDS 17237+3709;HIP 85112;TYC 2604-1777-1,
DS,18 01 30.41,+21 35 44.8,+0.00066,+0.0384,+4.89,+5.00,1.324E+02,-44.9,A5IIIn,A,+0.22,6.2,258.0,1987.00,,,,,,,,,,,,,95 Her;HR 6730;HD 164669;SAO 85648;BD +21 3280;WDS 18015+2136;HIP 88267;TYC 1566-3674-1;GAIA 4576147844112599424,
DS,18 07 49.56,+26 06 04.6,-0.00014,+0.0244,+5.86,+6.02,7.008E+01,-17.0,A3V,Aa,+0.03,14.2,182.0,1982.00,,,,,,,,,,,,,100 Her;HR 6781;HD 166045;SAO 85753;BD +26 3178;WDS 18078+2606;HIP 88818;TYC 2095-3224-1,
DV,08 46 46.51,+06 25 07.7,-0.01550,-0.0402,+3.40,+4.09,4.144E+01,+36.4,K1III:+F0V,AB,+1.51,0.2,271.6,2020.00,1991.2459,0.2547,0.6558,50.01,266.10,107.99,15.050700,BY:,+3.35,+3.39,,,epsilon Hya;11 Hya;HR 3482;HD 74874;SAO 117112;BD +06 2036;WDS 08468+0625;HIP 43109;TYC 0224-1333-1,Ashlesha
DS,11 32 16.40,-29 15 39.7,-0.00151,+0.1449,+5.64,+6.17,2.809E+01,+5.6,F8V,A,+0.10,9.3,210.0,1980.00,,,,,,,,,,,,,HR 4444;HD 100287;SAO 179968;CD -28 8928;WDS 11323-2916;HIP 56280;TYC 6663-1169-1;GAIA 3482326708703712896,
DS,21 19 51.99,-53 26 57.9,+0.01198,-0.0665,+4.50,+4.67,3.025E+01,-8.3,A5V,A,+2.50,6.5,272.0,1982.00,,,,,,,,,,,,,theta Ind;HR 8140;GJ 9733A;HD 202730;SAO 246965;CP -53 10037;WDS 21199-5327;HIP 105319;TYC 8793-1478-1;GAIA 6463748969563201152,
DS,22 35 52.29,+39 38 03.6,-0.00016,-0.0051,+5.71,+5.55,5.287E+02,-13.5,B2Ve,Aa,+0.72,22.4,185.0,1986.00,,,,,,,,,,,,,8 Lac;HR 8603;HD 214168;SAO 72509;BD +38 4808;WDS 22359+3938;HIP 111546;TYC 3205-2482-1;GAIA 1908368597999299840,
DS,10 08 22.31,+11 58 01.9,-0.01700,+0.0049,+1.41,+1.37,2.376E+01,+5.9,B7V,A,+6.77,177.6,307.0,1960.00,,,,,,,,,,,,,alpha Leo;32 Leo;HR 3982;HD 87901;SAO 98967;BD +12 2149;WDS 10084+1158;HIP 49669;TYC 0833-1381-1,Regulus
DS,10 19 58.35,+19 50 29.4,+0.02203,-0.1529,+2.23,+3.43,3.852E+01,-36.6,K1-IIIbFe-0.5,AB,+1.23,4.7,126.6,2020.00,1769.0037,3.1000,0.9300,41.00,114.00,188.00,554.000000,,,,,,gamma1 Leo;41 Leo;HR 4057;HD 89484;SAO 81298;BD +20 2467;WDS 10200+1950;HIP 50583;TYC 1423-1349-1,Algieba
DS,10 55 36.80,+24 44 59.0,-0.00565,-0.0147,+4.47,+4.48,9.309E+01,+3.6,A1V,A,+1.80,6.5,110.0,1987.00,,,,,,,,,,,,,54 Leo;HR 4259;HD 94601;SAO 81583;BD +25 2314;WDS 10556+2445;HIP 53417;TYC 1978-2295-1;GAIA 3996208310033740160,
DS,05 44 27.79,-22 26 54.2,-0.02104,-0.3685,+3.60,+4.09,8.905E+00,-9.0,F6V,A,+2.55,96.8,350.0,1980.00,,,,,,,,,,,,,gamma Lep;13 Lep;HR 1983;GJ 216A;HD 38393;SAO 170759;BD -22 1211;WDS 05445-2227;HIP 27072;TYC 5930-2197-1;GAIA 2964000159821218432,
DS,14 50 52.71,-16 02 30.4,-0.00733,-0.0690,+2.75,+2.92,2.367E+01,-10.0,A3IV,A,+2.40,231.0,314.0,1987.00,,,,,,,,,,,,,alpha2 Lib;9 Lib;HR 5531;GJ 564.1;HD 130841;SAO 158840;BD -15 3966;WDS 14509-1603;HIP 72622;TYC 6155-1210-1,Zubenelgenubi
DS,15 05 07.09,-47 03 04.5,-0.00229,-0.0211,+3.91,+3.77,1.359E+02,+5.0,B5V,A,+0.20,1.6,68.0,1990.00,,,,,,,,,,,,,pi Lup;HR 5605;HD 133242;SAO 225426;CD -46 9773;WDS 15051-4703;HIP 73807;TYC 8297-4705-1;GAIA 5903642967392021504,
DS,15 18 31.94,-47 52 30.4,-0.00275,-0.0457,+4.28,+4.18,1.029E+02,+14.9,B8Ve,AB,+0.03,0.8,114.1,2020.00,2047.9977,1.6570,0.4300,114.60,80.90,137.40,772.000000,,,,,,mu Lup;HR 5683;HD 135734;SAO 225638;CD -47 9860;WDS 15185-4753;HIP 74911;TYC 8298-4182-1;GAIA 5902970689077010304,
DS,15 11 56.08,-48 44 16.1,-0.00982,-0.0488,+3.86,+3.83,5.685E+01,+23.5,B9.5Vne,A,+1.83,26.6,144.0,1982.00,,,,,,,,,,,,,kappa1 Lup;HR 5646;HD 134481;SAO 225525;CD -48 9704;WDS 15119-4844;HIP 74376;TYC 8298-4184-1;GAIA 5902489309145870464,
DS,15 56 53.50,-33 57 58.1,+0.00096,-0.0379,+5.09,+5.21,6.656E+01,-10.0,A3V,A,+0.50,10.4,49.0,1968.00,,,,,,,,,,,,,xi1 Lup;HR 5925;HD 142629;SAO 207144;CD -33 10826;WDS 15569-3358;HIP 78105;TYC 7337-1461-1;GAIA 6012174802400278016,
DS,16 00 07.33,-38 23 48.1,-0.00150,-0.0273,+3.43,+3.22,1.317E+02,+7.7,B2.5IV,A,+4.40,15.0,20.0,1980.00,,,,,,,,,,,,,eta Lup;HR 5948;HD 143118;SAO 207208;CD -38 10797;WDS 16001-3824;HIP 78384;TYC 7851-1814-1;GAIA 5998019895874780928,
DS,06 46 14.13,+59 26 30.0,-0.00242,-0.0084,+4.87,+4.95,7.513E+01,-3.0,A3V,AB,+0.56,1.9,65.0,2020.00,2138.6728,2.5566,0.4285,118.26,64.46,40.35,733.149300,,,,,,12 Lyn;HR 2470;HD 48250;SAO 25939;BD +59 1015;WDS 06462+5927;HIP 32438;TYC 3778-1983-1;GAIA 1001751471970061184,
DS,09 18 50.64,+36 48 09.3,-0.00275,-0.1262,+3.82,+3.89,4.047E+01,+4.0,A3V,AB,+2.08,2.6,222.6,2020.00,1545.7088,6.4453,0.7705,104.32,107.28,87.30,2782.833600,,,,,,38 Lyn;HR 3690;HD 80081;SAO 61391;BD +37 1965;WDS 09188+3648;HIP 45688;TYC 2499-1655-1;GAIA 810952158347760128,
DV,18 36 56.34,+38 47 01.3,+0.01719,+0.2875,+0.03,+0.03,7.756E+00,-13.9,A0Va,A,+9.50,62.8,173.0,1946.00,,,,,,,,DSCTC,-0.02,+0.07,0.19,,alpha Lyr;3 Lyr;HR 7001;GJ 721;HD 172167;SAO 67174;BD +38 3238;WDS 18369+3846;HIP 91262;TYC 3105-2070-1,Vega
DS,18 44 20.31,+39 40 14.8,+0.00120,+0.0624,+6.00,+6.30,4.833E+01,-31.2,F1V,BA,+0.95,2.3,344.5,2020.00,190.0374,4.1700,0.2430,118.60,198.00,198.00,1725.000000,,,,,,epsilon1 Lyr;4 Lyr;HR 7052;HD 173583;SAO 67309;BD +39 3509;WDS 18443+3940;HIP 91919;TYC 3122-3438-1;GAIA 2098237656065233792,
DS,18 44 46.36,+37 36 18.4,+0.00246,+0.0266,+4.34,+4.55,4.710E+01,-26.0,A4m,A,+11.40,25.5,50.0,1934.00,,,,,,,,,,,,,zeta1 Lyr;6 Lyr;HR 7056;HD 173648;SAO 67321;BD +37 3222;WDS 18448+3736;HIP 91971;TYC 3118-2080-1,
DV,18 50 04.79,+33 21 45.6,+0.00016,-0.0037,+3.52,+3.52,2.779E+02,-29.5,B9I+B5p,A,+5.20,45.7,149.0,1975.00,,,,,,,,EB,+3.25,+4.36,12.91,2408247.95,beta Lyr;10 Lyr;HR 7106;HD 174638;SAO 67451;BD +33 3223;WDS 18501+3322;HIP 92420;TYC 2642-2929-1;GAIA 2090687795056051328,Sheliak
DS,18 53 43.56,+36 58 18.2,+0.00012,-0.0029,+5.58,+5.44,3.555E+02,-25.8,B2.5V,A,+3.60,174.6,20.0,1905.00,,,,,,,,,,,,,delta1 Lyr;11 Lyr;HR 7131;HD 175426;SAO 67537;BD +36 3307;WDS 18537+3658;HIP 92728;TYC 2650-2146-1;GAIA 2093922180304989568,
DS,06 23 46.09,+04 35 34.3,-0.00140,+0.0108,+4.41,+4.60,3.939E+01,+13.3,A5IV,A,+2.28,12.7,27.0,1985.00,,,,,,,,,,,,,epsilon Mon;8 Mon;HR 2298;HD 44769;SAO 113810;BD +04 1236;WDS 06238+0436;HIP 30419;TYC 0141-2452-1,
DV,06 28 49.07,-07 01 59.0,-0.00044,-0.0030,+4.64,+4.52,2.118E+02,+10.1,B3Ve,A,+0.80,7.2,132.0,1991.00,,,,,,,,BE,+3.77,+3.84,,,beta Mon;11 Mon;HR 2356;HD 45725;SAO 133316;BD -06 1574;WDS 06288-0702;HIP 30867;TYC 4797-1881-1;GAIA 3006953165674563200,
DS,12 46 16.81,-68 06 29.2,-0.00722,-0.0103,+3.08,+2.91,9.542E+01,+42.0,B2V,AB,+0.38,0.9,58.6,2020.00,2041.1034,1.5127,0.2428,54.41,74.19,26.96,459.480200,,,,,,beta Mus;HR 4844;HD 110879;SAO 252019;CP -67 2064;WDS 12463-6806;HIP 62322;TYC 9228-3047-1,
DS,16 27 11.04,-47 33 17.2,-0.00119,-0.0203,+4.53,+4.45,1.909E+02,-9.0,B4V,A,+2.66,22.8,335.0,1982.00,,,,,,,,,,,,,epsilon Nor;HR 6115;HD 147971;SAO 226773;CD -47 10765;WDS 16272-4733;HIP 80582;TYC 8316-4441-1;GAIA 5942012246713512704,
DS,17 15 20.78,-26 36 06.1,-0.03717,-1.1492,+5.07,+5.92,5.952E+00,+0.3,K0V,AB,+0.02,5.1,139.2,2020.00,1677.8656,13.0000,0.9160,99.79,89.80,94.16,470.900000,,,,,,36 Oph;HR 6402;GJ 663A;HD 155886;SAO 185198;CD -26 12026;WDS 17153-2636;HIP 84405;TYC 6820-0326-1;GAIA 4109030160308317312,Guniibuu
DS,17 18 00.68,-24 17 12.8,-0.00416,-0.0081,+5.11,+6.15,8.802E+01,-29.4,K0II-III,A,+1.60,10.2,355.0,1962.00,,,,,,,,,,,,,omicron Oph;39 Oph;HR 6424;HD 156349;SAO 185238;CD -24 13255;WDS 17180-2417;HIP 84626;TYC 6812-0592-1;GAIA 4111062298301073408,
